emp_no,first_name,last_name,title,to_date,dept_no,dept_name
10009,Sumant,Peac,Senior Engineer,9999-01-01,d006,Quality Management
10020,Mayuko,Warwick,Engineer,9999-01-01,d004,Production
10022,Shahaf,Famili,Engineer,9999-01-01,d005,Development
10047,Zvonko,Nyanchama,Senior Engineer,9999-01-01,d004,Production
10063,Gino,Leonhardt,Senior Engineer,9999-01-01,d004,Production
10066,Kwee,Schusler,Senior Engineer,9999-01-01,d005,Development
10072,Hironoby,Sidou,Senior Engineer,9999-01-01,d005,Development
10076,Erez,Ritzmann,Senior Engineer,9999-01-01,d005,Development
10097,Remzi,Waschkowski,Senior Staff,9999-01-01,d008,Research
10106,Eben,Aingworth,Senior Engineer,9999-01-01,d004,Production
10127,Subir,Baja,Senior Engineer,9999-01-01,d005,Development
10163,Karsten,Szmurlo,Senior Staff,9999-01-01,d003,Human Resources
10219,Genta,Kolvik,Senior Staff,9999-01-01,d005,Development
10240,Remko,Maccarone,Engineer,9999-01-01,d006,Quality Management
10340,Djelloul,Laventhal,Senior Staff,9999-01-01,d001,Marketing
10355,Satyanarayana,Cochrane,Staff,9999-01-01,d007,Sales
10356,Vasilis,Standera,Senior Staff,9999-01-01,d008,Research
10372,Anneli,Frijda,Technique Leader,9999-01-01,d004,Production
10387,Parto,Wrigley,Senior Staff,9999-01-01,d009,Customer Service
10413,Danel,Impagliazzo,Senior Staff,9999-01-01,d003,Human Resources
10418,Candida,Porotnikoff,Staff,9999-01-01,d001,Marketing
10429,Martien,Improta,Senior Engineer,9999-01-01,d005,Development
10451,Bodh,Ranta,Senior Engineer,9999-01-01,d004,Production
10477,Guoxiang,Trogemann,Senior Engineer,9999-01-01,d005,Development
10486,Amstein,Kossowski,Senior Engineer,9999-01-01,d006,Quality Management
10503,Dannz,Pell,Engineer,9999-01-01,d004,Production
10529,Ymte,Yetto,Assistant Engineer,9999-01-01,d004,Production
10548,Ramalingam,Gunderson,Senior Staff,9999-01-01,d001,Marketing
10593,Falguni,Kenevan,Senior Engineer,9999-01-01,d005,Development
10683,Guiseppe,Stranks,Senior Engineer,9999-01-01,d004,Production
10696,Unal,Fendler,Technique Leader,9999-01-01,d005,Development
10702,Bader,Szemeredi,Senior Engineer,9999-01-01,d005,Development
10712,Uma,Koprowski,Senior Engineer,9999-01-01,d005,Development
10814,Nidapan,Dymetman,Senior Staff,9999-01-01,d007,Sales
10826,Arnd,Anandan,Senior Engineer,9999-01-01,d005,Development
10835,Tomoyuki,Kermarrec,Engineer,9999-01-01,d004,Production
10846,Tokuyasu,Serre,Senior Engineer,9999-01-01,d008,Research
10847,Theirry,Danley,Senior Staff,9999-01-01,d008,Research
10858,Kenroku,Gonthier,Senior Engineer,9999-01-01,d005,Development
10871,Aram,Gilg,Staff,9999-01-01,d009,Customer Service
10872,Karoline,Speel,Senior Staff,9999-01-01,d002,Finance
10873,Sukumar,Wegerle,Staff,9999-01-01,d002,Finance
10878,Lakshmi,Deville,Staff,9999-01-01,d007,Sales
10883,Shimshon,Champarnaud,Engineer,9999-01-01,d004,Production
10906,Munehiro,Carrere,Staff,9999-01-01,d002,Finance
10913,Narain,Thummel,Staff,9999-01-01,d002,Finance
10942,Toshimitsu,Larfeldt,Engineer,9999-01-01,d005,Development
10944,Remko,Zyda,Senior Engineer,9999-01-01,d004,Production
10974,Muneo,Papsdorf,Senior Engineer,9999-01-01,d005,Development
10987,Flemming,Baezner,Engineer,9999-01-01,d005,Development
11037,Lansing,Maliniak,Senior Engineer,9999-01-01,d004,Production
11048,Jaques,Demke,Senior Staff,9999-01-01,d007,Sales
11050,Elvis,Katiyar,Senior Staff,9999-01-01,d001,Marketing
11051,Przemyslawa,Erol,Senior Engineer,9999-01-01,d004,Production
11064,Shawna,Vieri,Senior Engineer,9999-01-01,d004,Production
11070,Adib,Raney,Senior Engineer,9999-01-01,d006,Quality Management
11079,Piyush,Garigliano,Senior Engineer,9999-01-01,d005,Development
11081,Barry,Boyle,Senior Staff,9999-01-01,d002,Finance
11091,Souichi,Ramsay,Engineer,9999-01-01,d004,Production
11132,Kristin,Harnett,Senior Engineer,9999-01-01,d004,Production
11158,Masaki,Hagimont,Senior Engineer,9999-01-01,d004,Production
11170,Minghong,Cannard,Senior Engineer,9999-01-01,d005,Development
11174,Akhilish,Milicia,Engineer,9999-01-01,d004,Production
11180,Mitsuyuki,Bojadziev,Senior Engineer,9999-01-01,d005,Development
11181,Hausi,Cullers,Engineer,9999-01-01,d005,Development
11192,Apostol,Bahr,Engineer,9999-01-01,d006,Quality Management
11201,Jouko,Masaki,Staff,9999-01-01,d008,Research
11208,Saniya,Valtorta,Technique Leader,9999-01-01,d004,Production
11211,Yurij,Rissland,Senior Engineer,9999-01-01,d004,Production
11233,Sanjit,Waschkowski,Senior Engineer,9999-01-01,d005,Development
11253,Koldo,Pokrovskii,Senior Engineer,9999-01-01,d005,Development
11322,Nathalie,Pocchiola,Senior Engineer,9999-01-01,d006,Quality Management
11325,Samphel,Rossi,Engineer,9999-01-01,d005,Development
11326,Munenori,Plesums,Senior Engineer,9999-01-01,d005,Development
11340,Aris,Bala,Senior Engineer,9999-01-01,d004,Production
11376,Valery,Suomi,Senior Staff,9999-01-01,d008,Research
11380,Kenroku,Pelc,Senior Engineer,9999-01-01,d005,Development
11385,Shiv,Ullian,Engineer,9999-01-01,d004,Production
11401,Huan,Merey,Staff,9999-01-01,d007,Sales
11469,Guttorm,Giaccio,Senior Engineer,9999-01-01,d004,Production
11527,Alagu,Boyle,Staff,9999-01-01,d001,Marketing
11531,Radhika,Motley,Technique Leader,9999-01-01,d004,Production
11573,Pranas,Hutton,Senior Engineer,9999-01-01,d005,Development
11596,Yannik,Gunderson,Staff,9999-01-01,d002,Finance
11606,Perry,Pepe,Senior Staff,9999-01-01,d009,Customer Service
11628,Fan,Malinowski,Senior Engineer,9999-01-01,d005,Development
11644,Sanjit,Zaiane,Assistant Engineer,9999-01-01,d004,Production
11676,Valeri,Ferriere,Engineer,9999-01-01,d004,Production
11681,Fumitake,Benzmuller,Senior Engineer,9999-01-01,d004,Production
11693,Hideo,Coorg,Senior Engineer,9999-01-01,d005,Development
11713,Danel,Heusch,Senior Engineer,9999-01-01,d006,Quality Management
11737,Martina,Garnier,Assistant Engineer,9999-01-01,d006,Quality Management
11746,Koichi,Marrakchi,Senior Staff,9999-01-01,d007,Sales
